"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.simpleflatmapper.JacksonCsvParserBenchmark.parseCsv","avgt",1,200,1.134500,0.005164,"s/op"
"org.simpleflatmapper.JacksonCsvParserBenchmark.parseCsvQuotes","avgt",1,200,1.431955,0.035713,"s/op"
"org.simpleflatmapper.JacksonParallelCsvParserBenchmark.parseCsv","avgt",1,200,1.048196,0.012202,"s/op"
"org.simpleflatmapper.JacksonParallelCsvParserBenchmark.parseCsvQuotes","avgt",1,200,1.146804,0.013465,"s/op"
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsv","avgt",1,200,0.939375,0.012372,"s/op"
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvQuotes","avgt",1,200,1.351960,0.040860,"s/op"
"org.simpleflatmapper.SfmParallelCsvParserBenchmark.parseCsv","avgt",1,200,0.626718,0.006179,"s/op"
"org.simpleflatmapper.SfmParallelCsvParserBenchmark.parseCsvQuotes","avgt",1,200,1.056689,0.041161,"s/op"
"org.simpleflatmapper.UnivocityConcurrentCsvParserBenchmark.parseCsv","avgt",1,200,0.864673,0.002998,"s/op"
"org.simpleflatmapper.UnivocityConcurrentCsvParserBenchmark.parseCsvQuotes","avgt",1,200,1.250018,0.004126,"s/op"
"org.simpleflatmapper.UnivocityCsvParserBenchmark.parseCsv","avgt",1,200,1.017768,0.003010,"s/op"
"org.simpleflatmapper.UnivocityCsvParserBenchmark.parseCsvQuotes","avgt",1,200,1.689711,0.006459,"s/op"
"org.simpleflatmapper.UnivocityParallelCsvParserBenchmark.parseCsv","avgt",1,200,0.901408,0.003947,"s/op"
"org.simpleflatmapper.UnivocityParallelCsvParserBenchmark.parseCsvQuotes","avgt",1,200,1.305782,0.017162,"s/op"
